LMCE21EC049,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
LMCE21EC050,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
LMCE21EC051,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE19EC002,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE19EC003,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE19EC004,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE19EC006,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE19EC007,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE19EC008,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE19EC011,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE19EC014,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE19EC015,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE19EC017,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE19EC021,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE19EC024,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE19EC025,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE19EC031,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE19EC032,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE20EC002,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE20EC007,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE20EC013,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE20EC014,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE20EC015,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE20EC016,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE20EC017,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE20EC018,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
MCE20EC022,ELECTRONICS & COMMUNICATION ENGG,ANALOG AND DIGITAL COMMUNICATION ( ECT305 ) 
